pair,arm,setup,level,repeat,fold,n,n_pos,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,log_loss,brier,mcc,kappa,tn,fp,fn,tp,precision_acousticguitar,recall_acousticguitar,f1_acousticguitar,precision_violin,recall_violin,f1_violin,n_train,n_test,precision_ambulance,recall_ambulance,f1_ambulance,precision_firetruck,recall_firetruck,f1_firetruck,precision_ant,recall_ant,f1_ant,precision_bee,recall_bee,f1_bee,precision_cucumber,recall_cucumber,f1_cucumber,precision_zucchini,recall_zucchini,f1_zucchini,precision_hotpot,recall_hotpot,f1_hotpot,precision_vase,recall_vase,f1_vase
acousticguitar_violin,caption,w03,caption,0,0,3350,1330,0.9791044776119403,0.9802333804809052,0.9764988610074544,0.9802333804809052,0.9782659791857593,0.9958575895183504,0.9956121696876324,0.08899100765662073,0.019282416672453125,0.956724952777779,0.9565360833914088,1969,51,19,1311,0.9904426559356136,0.9747524752475247,0.9825349301397206,0.9625550660792952,0.9857142857142858,0.9739970282317979,13385,3350,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,image,0,0,670,266,0.9865671641791045,0.9862930841956377,0.9856739249635227,0.9862930841956377,0.9859810150861017,0.9968454552222139,0.997439162421674,0.08319750150183454,0.015381911480211815,0.9719668119517499,0.9719620953567742,399,5,4,262,0.9900744416873449,0.9876237623762376,0.9888475836431226,0.9812734082397003,0.9849624060150376,0.9831144465290806,13385,3350,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,caption,0,1,3350,1330,0.9764179104477612,0.978647733194372,0.9729112246335212,0.978647733194372,0.9755274995910461,0.996618030224075,0.9954783979570706,0.08935520130019102,0.020209021080034997,0.951541666293199,0.9510667684837817,1955,65,14,1316,0.9928897917724734,0.9678217821782178,0.9801955377287541,0.9529326574945691,0.9894736842105263,0.9708594614533382,13385,3350,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,image,0,1,670,266,0.9850746268656716,0.9863396114047495,0.9827815548329885,0.9863396114047495,0.984471905737515,0.9982877987046825,0.9973413813975318,0.08334256325167884,0.01630135276369742,0.9691146346451618,0.9689464024175457,396,8,2,264,0.9949748743718593,0.9801980198019802,0.9875311720698254,0.9705882352941176,0.9924812030075187,0.9814126394052045,13385,3350,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,caption,0,2,3345,1330,0.9772795216741406,0.9787132222616094,0.9743614061709661,0.9787132222616094,0.9763964548815942,0.9972743894475643,0.996064515753023,0.08849881440163572,0.020119086616629096,0.9530646930080902,0.9527992380146048,1958,57,19,1311,0.9903894790085989,0.971712158808933,0.9809619238476954,0.9583333333333334,0.9857142857142858,0.971830985915493,13390,3345,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,image,0,2,669,266,0.9910313901345291,0.9912778223474319,0.9900435478468008,0.9912778223474319,0.990650679188328,0.9986753484206795,0.9980242442523263,0.08247498200649565,0.016006308500851503,0.981320593978514,0.9813015325848977,399,4,2,264,0.9950124688279302,0.9900744416873449,0.9925373134328358,0.9850746268656716,0.9924812030075187,0.9887640449438202,13390,3345,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,caption,0,3,3345,1330,0.976083707025411,0.9787430735648053,0.9723336681004713,0.9787430735648053,0.9752128030873954,0.9976314856620458,0.9966303296749606,0.09059346731967285,0.02058366924298991,0.9510551445937471,0.9504410487385246,1946,69,11,1319,0.9943791517629024,0.96575682382134,0.9798590130916415,0.9502881844380403,0.9917293233082707,0.9705665930831494,13390,3345,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,image,0,3,669,266,0.9835575485799701,0.9857133528610609,0.980549146285187,0.9857133528610609,0.9829327631112049,0.9996921584357917,0.999547598219054,0.08358929207105872,0.01571771953588264,0.966248698952187,0.965871937448117,393,10,1,265,0.9974619289340102,0.9751861042183623,0.986198243412798,0.9636363636363636,0.9962406015037594,0.9796672828096118,13390,3345,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,caption,0,4,3345,1330,0.9757847533632287,0.9782393328233736,0.9721349370072938,0.9782393328233736,0.9748941936828939,0.9953422638482061,0.9951666460745563,0.0955718990386997,0.021414785982654585,0.9503546649056314,0.9498024575851193,1947,68,13,1317,0.9933673469387755,0.9662531017369727,0.979622641509434,0.9509025270758122,0.9902255639097745,0.9701657458563536,13390,3345,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,image,0,4,669,266,0.9895366218236173,0.9900371275583499,0.9882063197026023,0.9900371275583499,0.989099288881647,0.996464486277729,0.9973495906569276,0.08895564140822387,0.016612332723764056,0.9782417340573784,0.9781990344821165,398,5,2,264,0.995,0.9875930521091811,0.9912826899128269,0.9814126394052045,0.9924812030075187,0.9869158878504672,13390,3345,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,caption,1,0,3350,1330,0.9719402985074627,0.9726233901585647,0.9691656813479161,0.9726233901585647,0.9708071827865281,0.9931139730514404,0.9928378914756708,0.0992799932059608,0.022900800901908273,0.941782724124211,0.941619236544986,1958,62,32,1298,0.9839195979899498,0.9693069306930693,0.9765586034912718,0.9544117647058824,0.9759398496240601,0.9650557620817843,13385,3350,,,,,,,,,,,,,,,,,,,,,,,,
acousticguitar_violin,caption,w03,image,1,0,670,266,0.9805970149253731,0.9800584381746444,0.979447217033299,0.9800584381746444,0.9797503551243691,0.9952728355542322,0.9956587857727599,0.09162939278531407,0.01877045406695131,0.9595054605288816,0.9595008044042294,397,7,6,260,0.9851116625310173,0.9826732673267327,0.9838909541511772,0.9737827715355806,0.9774436090225563,0.975609756097561,13385,3350,,,,,,,,,,,,,,,,,,,,,,,,
